id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath_change_percentage,atl_change_percentage
solv-btc,solvbtc,Solv Protocol SolvBTC,93262.0,1249219847,99,1249351901.0,17086893.0,95004.0,91166.0,-645.8520817056706,-0.68775,-26269859.45379734,-2.05959,13412.31339228689,13413.73119185941,21000000.0,-13.58893,89.84403
kaia,kaia,Kaia,0.206813,1213395137,100,1213395176.0,50774632.0,0.221795,0.205499,3.674e-05,0.01777,1396351.0,0.11521,5856641747.106198,5856641936.044253,,-49.00525,83.43169
beam-2,beam,Beam,0.02292532,1204847895,101,1401705766.0,42633620.0,0.02426159,0.02230034,-0.000457973454212984,-1.95855,-29824946.539155245,-2.41562,52561007898.0,61148853857.0,61148853857.0,-48.0334,429.0095
eos,eos,EOS,0.78534,1194693826,102,1653952494.0,130270151.0,0.811635,0.763021,-0.006823013377543763,-0.86131,-7811016.614159584,-0.64956,1516885789.1746,2100000000.0,2100000000.0,-96.51512,96.51596
thorchain,rune,THORChain,3.43,1188908106,103,1447690815.0,636902058.0,3.65,3.18,-0.2010199443260685,-5.53083,-57835677.10280156,-4.63894,345743723.0,420999747.0,500000000.0,-83.51741,40304.81435
pyth-network,pyth,Pyth Network,0.325058,1180997730,104,3257934851.0,38410957.0,0.339894,0.320537,-0.008656214444584476,-2.5939,-32861620.43600607,-2.7072,3624988786.43857,10000000000.0,10000000000.0,-72.76431,45.77615
based-brett,brett,Brett,0.118341,1172337700,105,1172337702.0,61521474.0,0.1261,0.114598,-0.002968553547374755,-2.4471,-29243855.811075926,-2.43378,9909963218.936735,9909963218.936735,9999998988.0,-49.29519,13911.66513
bittorrent,btt,BitTorrent,1.16e-06,1151738725,106,1156339388.0,58718196.0,1.21e-06,1.13e-06,1.4064e-08,1.22467,15312154.0,1.34739,986061142857000.0,990000000000000.0,990000000000000.0,-65.9532,219.74941
bitcoin-cash-sv,bsv,Bitcoin SV,57.04,1133544417,107,1201673966.0,69416454.0,58.15,50.43,4.45,8.46481,91400168.0,8.7704,19809393.75,21000000.0,21000000.0,-88.15369,170.66881
flow,flow,Flow,0.726097,1130633080,108,1130633080.0,86436219.0,0.746804,0.712279,-0.010253743438263574,-1.39251,-16711005.085113764,-1.45649,1556395136.211605,1556395136.211605,,-98.28048,85.99071
iota,iota,IOTA,0.31332,1126345093,109,1441973711.0,56407781.0,0.328046,0.295792,0.00241804,0.77775,14980636.0,1.34795,3593121973.0,4600000000.0,,-93.9994,285.80151
susds,susds,sUSDS,1.022,1070414290,110,1070414290.0,248200.0,1.038,1.009,-0.00395051639517674,-0.38498,40473279.0,3.92967,1045423496.281127,1045423496.281127,,-3.47762,6.48736
ethereum-name-service,ens,Ethereum Name Service,31.57,1048493731,111,3161390729.0,153177001.0,32.53,30.53,-0.23493071576350744,-0.73869,-7116329.371965408,-0.67414,33165585.054507963,100000000.0,100000000.0,-62.09524,372.47127
aioz-network,aioz,AIOZ Network,0.91171,1048100106,112,1049971849.0,38840509.0,1.018,0.872298,-0.003950730430070437,-0.43146,-4677429.774522305,-0.44429,1147403329.169904,1149452411.436952,,-65.44992,8229.37917
spx6900,spx,SPX6900,1.12,1047532549,113,1047532549.0,109783243.0,1.32,1.037,-0.0518654792540092,-4.41558,-55446887.86048126,-5.02701,930993089.4490612,930993089.4490612,1000000000.0,-31.00115,85467.8509
neo,neo,NEO,14.79,1046880040,114,1484304609.0,45998033.0,15.26,14.42,-0.16736996933154913,-1.11877,-9695392.572220325,-0.91762,70530000.0,100000000.0,,-92.47455,18954.51427
arweave,ar,Arweave,15.77,1034176524,115,1034176524.0,94592027.0,16.2,14.78,0.199381,1.28022,14276911.0,1.39983,65454185.5381511,65454185.5381511,66000000.0,-82.17487,5223.60567
curve-dao-token,crv,Curve DAO,0.814659,1030956248,116,1804045707.0,259588279.0,0.860602,0.791879,-0.015446418124057115,-1.86078,-21130127.586586,-2.0084,1264799099.0,2213241724.624189,3303030299.0,-94.68062,353.38567
starknet,strk,Starknet,0.42552,1030671656,117,4260536512.0,70310915.0,0.443502,0.418338,-0.011077559494656495,-2.53725,-23291149.322066545,-2.20986,2419112366.0,10000000000.0,10000000000.0,-90.34868,32.63629
msol,msol,Marinade Staked SOL,232.15,1021420229,118,1021522266.0,89780012.0,241.35,229.2,-7.54696668877574,-3.14856,-39608743.453273535,-3.73305,4384477.0,4384915.0,4384915.0,-28.42146,2508.11733
renzo-restaked-eth,ezeth,Renzo Restaked ETH,3341.43,1014712331,119,1014712331.0,9155536.0,3421.25,3269.43,-58.93610722350331,-1.73323,-25376555.442331314,-2.43984,303444.4154752734,303444.4154752734,,-20.54524,52.0764
axie-infinity,axs,Axie Infinity,6.19,976246244,120,1673331838.0,67288009.0,6.31,6.02,-0.04112963269739022,-0.65969,-7913984.929213166,-0.80414,157521945.1313581,270000000.0,270000000.0,-96.22822,4927.21337
helium,hnt,Helium,5.37,945622104,121,1196567918.0,15898707.0,5.8,5.3,-0.4111545445159228,-7.11471,-72504490.76703215,-7.12136,176232143.5880543,223000000.0,223000000.0,-90.17962,4658.71629
dydx-chain,dydx,dYdX,1.31,944455245,122,944458235.0,35935247.0,1.37,1.29,-0.029405120916680794,-2.19817,-23001640.985868573,-2.37754,721318196.0612936,721320479.6046599,1000000000.0,-71.0222,61.8296
solv-protocol-solvbtc-bbn,solvbtc.bbn,Solv Protocol SolvBTC.BBN,92011.0,938673731,123,938673731.0,10488575.0,95445.0,90602.0,-1526.547903280356,-1.63201,18377479.0,1.99691,10174.28757329386,10172.81167953162,21000000.0,-14.20591,709.31007
